#D A_init Textinction Texclusion
0 1 0.00610352 0.00610352
0 100 0.00610352 0.00610352
0 200 0.00610352 0.00610352
0 300 0.00610352 0.00610352
0 400 0.00610352 0.00610352
0 500 0.00610352 0.00610352
0 600 0.0244141 0.0244141
0 700 0.0488281 0.10376
0 800 0.390625 0.0976562
0 900 0.78125 0.195312
0 1000 0.390625 1.5625
0 1100 3.125 0.195312
0 1200 0.195312 1.5625
0 1300 0.292969 1.5625
0 1400 0.78125 6.25
0 1500 1.5625 0.78125

0.01 1 0.00610352 0.00610352
0.01 100 0.00610352 50
0.01 200 0.00610352 50
0.01 300 0.00610352 50
0.01 400 0.00610352 50
0.01 500 0.0488281 50
0.01 600 0.341797 50
0.01 700 1.5625 50
0.01 800 1.95312 50
0.01 900 3.51562 50
0.01 1000 6.25 50
0.01 1100 12.5 50
0.01 1200 50 50
0.01 1300 50 50
0.01 1400 50 50
0.01 1500 50 50

0.02 1 0.00610352 0.00610352
0.02 100 0.00610352 50
0.02 200 0.00610352 50
0.02 300 0.00610352 50
0.02 400 0.00610352 50
0.02 500 0.0549316 50
0.02 600 0.390625 50
0.02 700 1.95312 50
0.02 800 5.46875 50
0.02 900 6.25 50
0.02 1000 12.5 50
0.02 1100 25 50
0.02 1200 50 50
0.02 1300 50 50
0.02 1400 50 50
0.02 1500 50 50

0.03 1 0.00610352 0.00610352
0.03 100 0.00610352 50
0.03 200 0.00610352 50
0.03 300 0.00610352 50
0.03 400 0.00610352 50
0.03 500 0.0488281 50
0.03 600 0.390625 50
0.03 700 2.34375 50
0.03 800 7.03125 50
0.03 900 15.625 50
0.03 1000 12.5 50
0.03 1100 50 50
0.03 1200 50 50
0.03 1300 50 50
0.03 1400 50 50
0.03 1500 50 50

0.04 1 0.00610352 0.00610352
0.04 100 0.00610352 50
0.04 200 0.00610352 50
0.04 300 0.00610352 50
0.04 400 0.00610352 50
0.04 500 0.0488281 50
0.04 600 0.390625 50
0.04 700 3.125 50
0.04 800 7.8125 50
0.04 900 17.1875 50
0.04 1000 31.25 50
0.04 1100 50 50
0.04 1200 50 50
0.04 1300 50 50
0.04 1400 50 50
0.04 1500 50 50

0.05 1 0.00610352 0.00610352
0.05 100 0.00610352 50
0.05 200 0.00610352 50
0.05 300 0.00610352 50
0.05 400 0.00610352 50
0.05 500 0.0488281 50
0.05 600 0.390625 50
0.05 700 2.34375 50
0.05 800 9.375 50
0.05 900 21.875 50
0.05 1000 25 50
0.05 1100 50 50
0.05 1200 50 50
0.05 1300 50 50
0.05 1400 50 50
0.05 1500 50 50

0.06 1 0.00610352 0.00610352
0.06 100 0.00610352 50
0.06 200 0.00610352 50
0.06 300 0.00610352 50
0.06 400 0.00610352 50
0.06 500 0.0488281 50
0.06 600 0.390625 50
0.06 700 3.125 50
0.06 800 9.375 50
0.06 900 25 50
0.06 1000 50 50
0.06 1100 50 50
0.06 1200 50 50
0.06 1300 50 50
0.06 1400 50 50
0.06 1500 50 50

0.07 1 0.00610352 0.00610352
0.07 100 0.00610352 50
0.07 200 0.00610352 50
0.07 300 0.00610352 50
0.07 400 0.00610352 50
0.07 500 0.0732422 50
0.07 600 0.390625 50
0.07 700 2.44141 50
0.07 800 9.375 50
0.07 900 25 50
0.07 1000 50 50
0.07 1100 50 50
0.07 1200 50 50
0.07 1300 50 50
0.07 1400 50 50
0.07 1500 50 50

0.08 1 0.00610352 0.00610352
0.08 100 0.00610352 50
0.08 200 0.00610352 50
0.08 300 0.00610352 50
0.08 400 0.00610352 50
0.08 500 0.0549316 50
0.08 600 0.390625 50
0.08 700 3.125 50
0.08 800 10.1562 50
0.08 900 31.25 50
0.08 1000 50 50
0.08 1100 50 50
0.08 1200 50 50
0.08 1300 50 50
0.08 1400 50 50
0.08 1500 50 50

0.09 1 0.00610352 0.00610352
0.09 100 0.00610352 50
0.09 200 0.00610352 50
0.09 300 0.00610352 50
0.09 400 0.00610352 50
0.09 500 0.0488281 50
0.09 600 0.390625 50
0.09 700 3.125 50
0.09 800 9.375 50
0.09 900 31.25 50
0.09 1000 50 50
0.09 1100 50 50
0.09 1200 50 50
0.09 1300 50 50
0.09 1400 50 50
0.09 1500 50 50

0.1 1 0.00610352 0.00610352
0.1 100 0.00610352 50
0.1 200 0.00610352 50
0.1 300 0.00610352 50
0.1 400 0.00610352 50
0.1 500 0.0427246 50
0.1 600 0.366211 50
0.1 700 2.34375 50
0.1 800 10.9375 50
0.1 900 31.25 50
0.1 1000 50 50
0.1 1100 50 50
0.1 1200 50 50
0.1 1300 50 50
0.1 1400 50 50
0.1 1500 50 50

